Maine 2025 Priority Bills,Stance,Issues,Status Text,Future Hearing Dates,Last Timeline Action,Source Link,AI Summary,Sponsors List,Cosponsors List
L.D. 1472 (H.P. 964): An Act to Address Climate Change ,Support,,Introduced or Prefiled,,Committee On Environment And Natural Resources Suggested And Ordered Printed. The Bill Was Referred To The Committee On Environment And Natural Resources. Sent For Concurrence. Ordered Sent Forthwith.,https://legislature.maine.gov/billtracker/#Paper/1472?legislature=132,"The legislative document from the 132nd Maine Legislature, titled 'An Act to Address Climate Change,' is a concept draft introduced by Representative Warren of Scarborough. The bill is intended to propose measures aimed at addressing climate change, although specific details and measures are not provided in the text. The document has been referred to the Committee on Environment and Natural Resources for further consideration. As a concept draft, it serves as a preliminary proposal that outlines the intention to develop comprehensive strategies to combat climate change in the state of Maine.",ME Rep. Sophia Warren (D-ME-124),
L.D. 1458 (S.P. 599): An Act Regarding Compensation Fees and Related Conservation Efforts for Solar and Wind Energy Development and High-impact Electric Transmission Lines Under the Site Location of Development Laws ,Watching,,Introduced or Prefiled,,2025-04-02,https://legislature.maine.gov/billtracker/#Paper/1458?legislature=132,"The legislative document from the 132nd Maine Legislature introduces changes to the compensation fee program related to solar and wind energy development and high-impact electric transmission lines. It enacts definitions for 'average value of undeveloped land' and 'undeveloped land' and specifies the wildlife habitats that the Department of Environmental Protection (DEP) may consider when assessing the impact of renewable energy projects. The bill mandates that the compensation fee be equivalent to the average value of undeveloped land occupied by the project, with exceptions for certain areas such as designated growth areas and contaminated properties. The fees collected are to be deposited into the Land for Maine's Future Trust Fund. Additionally, the bill modifies the rule-making process for the DEP, changing the rules from major substantive to routine technical. These changes aim to streamline the compensation process and ensure that the fees reflect the value of the land impacted by renewable energy developments.",ME Sen. Craig Hickman (D-ME-014),
L.D. 1423 (S.P. 579): An Act to Improve Recycling by Updating the Stewardship Program for Packaging ,Watching,,Introduced or Prefiled,,The Bill Was Referred To The Committee On Environment And Natural Resources. In Concurrence. Ordered Sent Forthwith.,https://legislature.maine.gov/billtracker/#Paper/1423?legislature=132,"The legislative document from the 132nd Maine Legislature proposes amendments to the state's stewardship program for packaging, aiming to enhance recycling efforts. It introduces new definitions, such as 'commingled recycling processing facility' and 'residential recycling collection service,' and updates existing ones, including 'producer' and 'toxicity.' The bill excludes certain types of packaging, such as those for commercial, medical, and hazardous products, from the program's requirements. It mandates the Department of Environmental Protection to establish a process for approving a producer payment system, which is designed to incentivize the use of recyclable materials and disincentivize non-recyclable ones. The bill also outlines the responsibilities of the stewardship organization, including providing lists of compliant producers and brands, conducting audits, and reporting to the department. Additionally, it sets criteria for packaging material exemptions and establishes timelines for demonstrating recycling rates. The bill aligns with environmental goals by promoting recycling, reducing packaging waste, and ensuring accurate recyclability claims.",ME Sen. Joe Baldacci (D-ME-009),
L.D. 1451 (S.P. 592): An Act to Strengthen Coordination of Community Transportation ,Watching,,Introduced or Prefiled,,2025-04-01,https://legislature.maine.gov/billtracker/#Paper/1451?legislature=132,"The legislative document establishes the Maine Coordinating Council on Access and Mobility Management, which is tasked with improving transportation efficiency, accessibility, and availability for transportation-disadvantaged populations. The council will serve as an advisory body to the Department of Transportation and the Maine Office of Community Affairs. It will consist of six members, including commissioners or their designees from various state departments and the Executive Director of the Maine Turnpike Authority. The council's duties include enhancing interagency coordination, establishing a mobility management approach, creating mobility management hubs in eight regions, leveraging federal funds, and removing barriers to cost-sharing. Additionally, a state coordinator of mobility management will be appointed to support these efforts. The bill aims to improve transportation services for individuals who are unable to transport themselves due to disability, income, or age, thereby aligning with the mission of enhancing community transportation access.","ME Sen. Mike ""Michael"" Tipping (D-ME-008)",
"L.D. 1420 (S.P. 576): Resolve, to Establish the Commission to Ensure a Just and Equitable Energy Transition for Maine's Workforce ",Watching,,Introduced or Prefiled,4/16/2025,"The Resolve Was Referred To The Committee On Energy, Utilities And Technology. In Concurrence. Ordered Sent Forthwith.",https://legislature.maine.gov/billtracker/#Paper/1420?legislature=132,"The legislative document establishes the Commission to Ensure a Just and Equitable Energy Transition for Maine's Workforce. The commission will consist of 13 members, including legislators, public members, and representatives from the Governor's office, the Public Utilities Commission, and the Maine Apprenticeship Council. The commission is tasked with reviewing the state's current energy workforce, evaluating workforce demands, compensation levels, and benefits, and considering the economic impacts of the energy transition on low-income ratepayers. It will also explore the benefits of a well-compensated workforce and the potential establishment of a state entity or framework to ensure a just energy transition. The commission is authorized to meet six times and must submit a report with its findings and recommendations by February 1, 2026, to the Joint Standing Committees on Energy, Utilities and Technology, and Labor. The Legislative Council will provide staffing support, except during legislative sessions.",ME Sen. Mark Lawrence (D-ME-035),
"L.D. 1083 (H.P. 705): Resolve, to Require the Department of Environmental Protection to Assess Existing Water Retention Structures and Water Levels ",Watching,,Introduced or Prefiled,4/9/2025,"Carried Over, In The Same Posture, To The Next Special Or Regular Session Of The 132Nd Legislature, Pursuant To Joint Order Sp 519.",https://legislature.maine.gov/billtracker/#Paper/1083?legislature=132,"The legislative document from the 132nd Maine Legislature mandates the Department of Environmental Protection to conduct an assessment of water retention structures, such as dams, across the state. This assessment aims to examine issues related to erosion and the effects of rising water levels. Additionally, the department is tasked with evaluating water levels in lakes and ponds that have these structures. The findings from this assessment are to be compiled into a report, which must be submitted by December 3, 2025, for presentation to the Second Regular Session of the 132nd Legislature. This initiative aligns with environmental protection efforts by addressing potential ecological impacts of water management infrastructure and ensuring sustainable water levels in natural bodies of water.","ME Rep. Richard ""Rick"" Mason (R-ME-097)",
L.D. 1072 (S.P. 458): An Act to Amend the Laws Governing the Land for Maine's Future Program and to Authorize the Use of Options to Purchase at Agricultural Value ,Watching,,Introduced or Prefiled,,"Carried Over, In The Same Posture, To The Next Special Or Regular Session Of The 132Nd Legislature, Pursuant To Joint Order Sp 519.",https://legislature.maine.gov/billtracker/#Paper/1072?legislature=132,"The legislative document from the 132nd Maine Legislature proposes amendments to the laws governing the Land for Maine's Future program and introduces new provisions for options to purchase at agricultural value. Part A of the bill modifies existing statutes to include a broader definition of 'interest in property,' mandates public notice for land acquisition awards, and restricts funding for acquiring fee interests in commercially harvested forest land. It also repeals redundant legal provisions and clarifies title requirements for land acquisitions. Part B introduces the concept of an 'option to purchase at agricultural value,' allowing governmental or nonprofit entities to control the purchase price of farmland to ensure its affordability and availability for agricultural use. Part C revises reporting requirements for conservation easements and land parcels owned for conservation, aiming to streamline processes and improve public access to information. The bill aligns with the mission of preserving Maine's natural resources and supporting sustainable agricultural practices.",ME Sen. Stacy Brenner (D-ME-030),
L.D. 1020 (S.P. 437): An Act to Repeal the Laws Providing for the Construction of a Connector to Gorham and to Resell Land Taken Under Those Laws to Previous Property Owners ,Support,,Introduced or Prefiled,,"Carried Over, In The Same Posture, To The Next Special Or Regular Session Of The 132Nd Legislature, Pursuant To Joint Order Sp 519.",https://legislature.maine.gov/billtracker/#Paper/1020?legislature=132,"The legislative document from the 132nd Maine Legislature proposes the repeal of laws that authorized the construction of a connector to Gorham by the Maine Turnpike Authority. Specifically, it repeals sections 23 MRSA §1965, sub-§1, ¶D-2, §1965-C, and §1968, sub-§2-D, which were enacted in 2017. The bill mandates that any land acquired for this project be resold to the original property owners or their heirs at the original purchase price. If the original owners or their heirs do not wish to repurchase the land within a year of the act's enactment, the land must be transferred to the municipality where it is located at no cost. Should the municipality decline the land, it must be donated to a local land trust, and if the land trust also declines, the municipality may sell the land at a public auction.",ME Sen. Stacy Brenner (D-ME-030),
"L.D. 1035 (H.P. 664): Resolve, to Study the Safe Disposal of Single-use Propane Canisters ",Watching,,Introduced or Prefiled,,Reported Out Ontp,https://legislature.maine.gov/billtracker/#Paper/1035?legislature=132,"The legislative document from the 132nd Maine Legislature proposes a resolve to study the safe disposal of single-use propane canisters. The Department of Environmental Protection is tasked with examining the current disposal infrastructure and making recommendations for improvements to ensure safe disposal practices for residents. Additionally, the department will explore the feasibility of a statewide ban on non-refillable propane canisters. A report detailing the findings and recommendations is to be submitted by December 3, 2025, to the Joint Standing Committee on Environment and Natural Resources, which may propose related legislation in the Second Regular Session of the 132nd Legislature.",ME Rep. Ambureen Rana (D-ME-021),
L.D. 1342 (S.P. 557): An Act Regarding Vehicle Inspection and Registration ,Watching,,Introduced or Prefiled,,"Received By The Secretary Of The Senate On March 28, 2025 And Referred To The Committee On Transportation Pursuant To Joint Rule 308.2",https://legislature.maine.gov/billtracker/#Paper/1342?legislature=132,"The legislative document from the 132nd Maine Legislature proposes a bill concerning vehicle inspection and registration. The bill suggests that individuals who register a motor vehicle that later fails a state inspection should be eligible for a prorated refund of registration fees and excise taxes. Alternatively, they can apply the remaining value as a credit towards the registration of another vehicle. This refund or credit must be processed within 90 days. The bill is currently a concept draft and has been referred to the Committee on Transportation for further consideration.",ME Sen. Nicole Grohoski (D-ME-007),
