Maine 2025 Priority Bills,Stance,Issues,Status Text,Last Timeline Action,Source Link
L.D. 741 (H.P. 483): An Act to Increase Preparedness for Solar Power Adoption in Maine ,Watching,,Introduced or Prefiled,The Bill Was Referred To The Committee On Housing And Economic Development In Concurrence,https://legislature.maine.gov/billtracker/#Paper/741?legislature=132
"L.D. 757 (S.P. 290): Resolve, to Study and Oversee Water in the State of Maine ",Watching,,Introduced or Prefiled,The Resolve Was Referred To The Committee On Environment And Natural Resources. In Concurrence. Ordered Sent Forthwith.,https://legislature.maine.gov/billtracker/#Paper/757?legislature=132
L.D. 694 (S.P. 311): An Act to Require Petitions for Interstate Transmission Lines to Include Provisions for Conservation Funding ,Watching,,Introduced or Prefiled,"Received By The Secretary Of The Senate On February 20, 2025 And Referred To The Committee On Energy, Utilities And Technology Pursuant To Joint Rule 308.2",https://legislature.maine.gov/billtracker/#Paper/694?legislature=132
L.D. 687 (S.P. 304): An Act to Assert State Ownership over Ocean Waters up to 12 Nautical Miles and Submerged Lands and Marine Resources up to 24 Nautical Miles off the State's Coast and to Direct the Attorney General to Study That Ownership ,Watching,,Introduced or Prefiled,"Received By The Secretary Of The Senate On February 20, 2025 And Referred To The Committee On Marine Resources Pursuant To Joint Rule 308.2",https://legislature.maine.gov/billtracker/#Paper/687?legislature=132
"L.D. 635 (H.P. 403): Resolve, to Direct the Attorney General to Drop the Lawsuit Filed Against Big Oil Companies Concerning Climate Change ",Oppose,,Introduced or Prefiled,"Received By The Clerk Of The House On February 20, 2025. The Resolve Was Referred To The Committee On Judiciary Pursuant To Joint Rule 308.2 And Ordered Printed Pursuant To Joint Rule 401.",https://legislature.maine.gov/billtracker/#Paper/635?legislature=132
L.D. 622 (H.P. 390): An Act to Implement a Surcharge on Electric Vehicle Registration ,Watching,,Introduced or Prefiled,"Received By The Clerk Of The House On February 20, 2025. The Bill Was Referred To The Committee On Transportation Pursuant To Joint Rule 308.2 And Ordered Printed Pursuant To Joint Rule 401.",https://legislature.maine.gov/billtracker/#Paper/622?legislature=132
L.D. 716 (H.P. 455): An Act to Restrict the Hunting of Coyotes ,Support,,Introduced or Prefiled,"Received By The Clerk Of The House On February 20, 2025. The Bill Was Referred To The Committee On Inland Fisheries And Wildlife Pursuant To Joint Rule 308.2 And Ordered Printed Pursuant To Joint Rule 401.",https://legislature.maine.gov/billtracker/#Paper/716?legislature=132
"L.D. 646 (H.P. 414): Resolve, Establishing the Commission to Study Unregulated Storm Water Pollution ",Support,,Introduced or Prefiled,"Received By The Clerk Of The House On February 20, 2025. The Resolve Was Referred To The Committee On Environment And Natural Resources Pursuant To Joint Rule 308.2 And Ordered Printed Pursuant To Joint Rule 401.",https://legislature.maine.gov/billtracker/#Paper/646?legislature=132
L.D. 725 (H.P. 464): An Act to Advance Equitable Energy Policy in Maine ,Watching,,Introduced or Prefiled,"Received By The Clerk Of The House On February 20, 2025. The Bill Was Referred To The Committee On Energy, Utilities And Technology Pursuant To Joint Rule 308.2 And Ordered Printed Pursuant To Joint Rule 401.",https://legislature.maine.gov/billtracker/#Paper/725?legislature=132
L.D. 568 (S.P. 248): An Act to Modify the Process for Standard-offer Contracts with the Public Utilities Commission ,Watching,,Introduced or Prefiled,"Received By The Secretary Of The Senate On February 19, 2025 And Referred To The Committee On Energy, Utilities And Technology Pursuant To Joint Rule 308.2",https://legislature.maine.gov/billtracker/#Paper/568?legislature=132
L.D. 560 (S.P. 239): An Act to Authorize a General Fund Bond Issue to Improve Coastal Climate Resiliency ,Watching,,Introduced or Prefiled,"Received By The Secretary Of The Senate On February 19, 2025 And Referred To The Committee On Appropriations And Financial Affairs Pursuant To Joint Rule 308.2",https://legislature.maine.gov/billtracker/#Paper/560?legislature=132
L.D. 585 (S.P. 268): An Act to Use Certain Regional Transmission Organization Payments for Beneficial Electrification to Reduce Electricity Rates ,Watching,,Introduced or Prefiled,"Received By The Secretary Of The Senate On February 19, 2025 And Referred To The Committee On Energy, Utilities And Technology Pursuant To Joint Rule 308.2",https://legislature.maine.gov/billtracker/#Paper/585?legislature=132
L.D. 556 (S.P. 218): An Act to Preserve Heating and Energy Choice by Prohibiting a Municipality from Prohibiting a Particular Energy System or Energy Distributor ,Oppose,,Introduced or Prefiled,The Bill Was Referred To The Committee On State And Local Government. In Concurrence. Ordered Sent Forthwith.,https://legislature.maine.gov/billtracker/#Paper/556?legislature=132
L.D. 553 (S.P. 208): An Act to Assert State Sovereignty over Ocean Waters and Marine Resources up to 12 Nautical Miles off the State's Coast ,Watching,,Introduced or Prefiled,The Bill Was Referred To The Committee On Marine Resources. In Concurrence. Ordered Sent Forthwith.,https://legislature.maine.gov/billtracker/#Paper/553?legislature=132
